2022-10-31 17:29:53,732 INFO  CellAmbassador - Start Cell
2022-10-31 17:29:53,840 INFO  CellAmbassador - Using network config:
2022-10-31 17:29:53,840 INFO  CellAmbassador - org.eclipse.mosaic.fed.cell.config.model.CNetworkProperties@faec277[id=globalNetwork,uplink.delay=[delayType: ConstantDelay, delay: 100000000],uplink.capacity=28000000,downlink.unicast.delay=[delayType: ConstantDelay, delay: 100000000],downlink.multicast.delay=[delayType: ConstantDelay, delay: 100000000],downlink.multicast.usableCapacity=0.6,downlink.capacity=42200000]
2022-10-31 17:29:53,892 INFO  CellAmbassador - Using region config:
2022-10-31 17:29:53,893 INFO  CellAmbassador - 
2022-10-31 17:29:53,914 INFO  ChainManager - Initialize ChainManager
2022-10-31 17:29:53,914 INFO  ChainManager - Adding Module Upstream
2022-10-31 17:29:53,914 INFO  ChainManager - Adding Module Geocaster
2022-10-31 17:29:53,914 INFO  ChainManager - Adding Module Downstream
2022-10-31 17:29:53,914 INFO  CellAmbassador - Finished Initialization, waiting for Interactions...
2022-10-31 17:29:56,656 INFO  CellAmbassador - Enabled (Configured) Cell Communication for entity=server_0, t=0.000,000,000 s with capacity in downlink=10000000000 and uplink=10000000000
2022-10-31 17:29:56,730 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_0, t=6.000,000,000 s
2022-10-31 17:29:57,321 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_10, t=42.000,000,000 s
2022-10-31 17:29:57,744 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_20, t=78.000,000,000 s
2022-10-31 17:29:58,594 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_30, t=114.000,000,000 s
2022-10-31 17:29:59,451 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_40, t=150.000,000,000 s
2022-10-31 17:30:00,065 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_50, t=186.000,000,000 s
2022-10-31 17:30:00,539 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_60, t=222.000,000,000 s
2022-10-31 17:30:01,126 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_70, t=258.000,000,000 s
2022-10-31 17:30:01,670 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_80, t=294.000,000,000 s
2022-10-31 17:30:02,102 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_90, t=330.000,000,000 s
2022-10-31 17:30:02,646 INFO  CellAmbassador - Removed VEH (id=veh_0) from simulation, t=368.000,000,000 s
2022-10-31 17:30:02,688 INFO  CellAmbassador - Removed VEH (id=veh_10) from simulation, t=372.000,000,000 s
2022-10-31 17:30:03,735 INFO  CellAmbassador - Removed VEH (id=veh_20) from simulation, t=450.000,000,000 s
2022-10-31 17:30:03,825 INFO  CellAmbassador - Removed VEH (id=veh_30) from simulation, t=456.000,000,000 s
2022-10-31 17:30:04,140 INFO  CellAmbassador - Removed VEH (id=veh_40) from simulation, t=483.000,000,000 s
2022-10-31 17:30:04,939 INFO  CellAmbassador - Removed VEH (id=veh_50) from simulation, t=561.000,000,000 s
2022-10-31 17:30:05,018 INFO  CellAmbassador - Removed VEH (id=veh_60) from simulation, t=568.000,000,000 s
2022-10-31 17:30:05,326 INFO  CellAmbassador - Removed VEH (id=veh_70) from simulation, t=622.000,000,000 s
2022-10-31 17:30:05,584 INFO  CellAmbassador - Removed VEH (id=veh_80) from simulation, t=661.000,000,000 s
2022-10-31 17:30:05,591 INFO  CellAmbassador - Removed VEH (id=veh_90) from simulation, t=663.000,000,000 s
2022-10-31 17:30:06,275 INFO  CellAmbassador - FinishSimulation
2022-10-31 17:30:06,275 INFO  ChainManager - [Upstream] Processed messages: 500
2022-10-31 17:30:06,275 INFO  ChainManager - [Geocaster] Processed messages: 500
2022-10-31 17:30:06,275 INFO  ChainManager - [Downstream] Processed messages: 1618
